cenario,nuvem,fase,tco_36m,delta_vs_primario_pct,observacao
primario,ibm,1,384802.1927,0.0000,convenção do pré-registro
primario,aws,1,286970.0366,0.0000,convenção do pré-registro
primario,ibm,2,686676.6055,0.0000,convenção do pré-registro
primario,aws,2,558229.7352,0.0000,convenção do pré-registro
oracle-ibm-bare-metal,ibm,1,447322.3127,16.2473,"D13: o menor bare metal de br-sao tem 16 núcleos, o dobro do requisito do banco-5"
oracle-ibm-bare-metal,ibm,2,749196.7255,9.1047,"D13: o menor bare metal de br-sao tem 16 núcleos, o dobro do requisito do banco-5"
oracle-aws-licenca-inclusa,aws,2,585245.5752,4.8396,só existe na edição Standard Two da AWS; não há equivalente na IBM
graviton-aws,aws,1,273761.7086,-4.6027,"ARM admitido do lado AWS, sem contrapartida no catálogo IBM de br-sao"
graviton-aws,aws,2,529983.9912,-5.0599,"ARM admitido do lado AWS, sem contrapartida no catálogo IBM de br-sao"
banco-1-disco-uso-geral,ibm,1,352895.9361,-8.2916,"achado externo: a linha de base do banco-1 declara alta disponibilidade, não desempenho de disco; aqui ele recebe o degrau de uso geral nas DUAS nuvens"
banco-1-disco-uso-geral,ibm,2,686676.6055,0.0000,"achado externo: a linha de base do banco-1 declara alta disponibilidade, não desempenho de disco; aqui ele recebe o degrau de uso geral nas DUAS nuvens"
banco-1-disco-uso-geral,aws,1,283826.1846,-1.0955,"achado externo: a linha de base do banco-1 declara alta disponibilidade, não desempenho de disco; aqui ele recebe o degrau de uso geral nas DUAS nuvens"
banco-1-disco-uso-geral,aws,2,558229.7352,0.0000,"achado externo: a linha de base do banco-1 declara alta disponibilidade, não desempenho de disco; aqui ele recebe o degrau de uso geral nas DUAS nuvens"
